#Gene	psi_min	psi_max	EC50	slope	ctl_3	ctl_7	ctl_10	ctl_14	ctl_17	ctl_21	ctl_28	3	3	3	7	7	7	10	10	10	14	14	14	17	17	17	21	21	21	28	28	28
Abcc9	0.16	0.97	0.29	-2.4	0.24	0.226	0.348	0.323	0.308	0.364	0.347	0.336	0.378	0.325	0.129	0.147	0.197	0.114	0.138	0.11	0.108	0.047	0.106	0.121	0.109	0.128	0.109	0.133	0.167	0.212	0.091	0.232
Atp2a1	0.01	1	0.53	4.53	0.143	0.314	0.217	0.283	0.301	0.176	0.257	0.465	0.26	0.327	0.8	0.768	0.54	0.956	0.893	0.773	0.978	0.952	0.959	0.99	0.905	0.969	0.997	0.992	0.987	0.994	0.996	0.995
Best3	0.02	0.48	0.62	1.6	0.141	0.209	0.183	0.198	0.285	0.208	0.233	0.277	0.235	0.249	0.358	0.381	0.383	0.364	0.407	0.42	0.298	0.314	0.282	0.301	0.324	0.295	0.324	0.404	0.344	0.308	0.393	0.379
Bin1	0.58	1	0.39	2.56	0.754	0.786	0.795	0.773	0.811	0.768	0.787	0.918	0.859	0.886	0.987	0.979	0.946	0.993	0.985	0.971	0.989	0.988	0.984	0.99	0.986	0.986	0.993	0.993	0.992	0.991	0.989	0.986
Cacna2d1	0.31	1	0.3	2.36	0.681	0.802	0.752	0.704	0.756	0.722	0.727	0.898	0.806	0.805	0.975	0.961	0.919	0.99	0.98	0.956	0.996	0.988	0.993	0.996	0.981	0.993	0.995	0.992	0.995	0.996	0.996	0.995
Clasp1	0.01	0.93	0.65	2.08	0.171	0.269	0.243	0.248	0.3	0.217	0.255	0.467	0.319	0.366	0.655	0.59	0.517	0.69	0.604	0.566	0.636	0.611	0.575	0.653	0.647	0.647	0.782	0.741	0.727	0.686	0.709	0.742
Clcn1	0.04	0.99	0.3	-3.47	0.474	0.25	0.299	0.339	0.261	0.355	0.331	0.149	0.251	0.201	0.054	0.064	0.099	0.055	0.052	0.071	0.076	0.07	0.092	0.042	0.061	0.045	0.034	0.035	0.055	0.04	0.037	0.061
Cpeb2	0.11	0.93	0.66	-3.61	0.896	0.833	0.868	0.887	0.881	0.903	0.885	0.723	0.832	0.823	0.43	0.557	0.592	0.413	0.432	0.478	0.289	0.359	0.307	0.308	0.399	0.344	0.296	0.321	0.343	0.357	0.376	0.349
Dctn4	0.01	0.91	0.36	-3.3	0.495	0.375	0.388	0.389	0.344	0.449	0.422	0.152	0.326	0.255	0.062	0.104	0.108	0.076	0.092	0.119	0.064	0.074	0.119	0.082	0.088	0.084	0.04	0.047	0.041	0.046	0.046	0.038
Eya4	0.15	0.93	0.63	2.42	0.308	0.441	0.425	0.281	0.339	0.406	0.4	0.496	0.43	0.426	0.715	0.724	0.601	0.779	0.805	0.752	0.69	0.683	0.702	0.796	0.652	0.717	0.801	0.751	0.678	0.774	0.726	0.659
Fbxo31	0.01	0.8	0.48	3.43	0.205	0.345	0.271	0.326	0.387	0.251	0.296	0.585	0.365	0.443	0.76	0.761	0.612	0.803	0.771	0.697	0.784	0.757	0.743	0.795	0.725	0.778	0.829	0.806	0.811	0.811	0.797	0.795
Fn1	0.05	0.34	0.2	-5.13	0.027	0.055	0.031	0.061	0.037	0.037	0.042	0.043	0.041	0.035	0.037	0.033	0.033	0.044	0.04	0.036	0.042	0.028	0.038	0.03	0.026	0.025	0.026	0.046	0.036	0.034	0.037	0.048
Jag2	0.14	0.76	0.31	-2.11	0.474	0.354	0.362	0.425	0.368	0.424	0.434	0.248	0.344	0.283	0.152	0.172	0.201	0.16	0.188	0.181	0.138	0.131	0.134	0.173	0.164	0.164	0.113	0.17	0.143	0.141	0.157	0.133
Kif13a	0.28	0.97	0.49	2.27	0.462	0.577	0.525	0.522	0.548	0.552	0.542	0.749	0.65	0.693	0.931	0.899	0.847	0.946	0.92	0.902	0.938	0.941	0.924	0.884	0.917	0.862	0.939	0.928	0.914	0.883	0.902	0.916
Ldb3	0.01	1	0.54	-3.24	0.838	0.641	0.684	0.741	0.56	0.717	0.717	0.405	0.668	0.551	0.126	0.175	0.311	0.089	0.151	0.221	0.169	0.21	0.233	0.098	0.157	0.138	0.044	0.057	0.072	0.063	0.074	0.065
Lrrfip2	0.04	0.99	0.59	2.87	0.161	0.295	0.261	0.259	0.326	0.271	0.296	0.583	0.356	0.443	0.816	0.753	0.651	0.88	0.787	0.761	0.787	0.792	0.706	0.834	0.811	0.793	0.884	0.93	0.855	0.888	0.859	0.83
Map3k4	0.03	0.73	0.42	-1.89	0.433	0.349	0.349	0.413	0.367	0.362	0.367	0.267	0.319	0.286	0.134	0.153	0.18	0.135	0.124	0.146	0.114	0.106	0.134	0.077	0.108	0.084	0.097	0.11	0.116	0.145	0.115	0.149
Mbnl1	0.02	0.66	0.46	-2.3	0.512	0.36	0.373	0.415	0.377	0.453	0.423	0.195	0.337	0.288	0.102	0.109	0.169	0.094	0.102	0.124	0.104	0.104	0.128	0.099	0.103	0.111	0.069	0.079	0.067	0.084	0.086	0.082
Mbnl2	0.04	0.41	0.23	-1.78	0.242	0.113	0.141	0.233	0.159	0.143	0.171	0.116	0.177	0.175	0.092	0.087	0.137	0.075	0.079	0.093	0.084	0.12	0.091	0.077	0.091	0.069	0.06	0.058	0.088	0.069	0.106	0.088
Mpdz	0.17	0.97	0.42	-2.38	0.76	0.568	0.62	0.596	0.483	0.692	0.62	0.388	0.595	0.513	0.282	0.289	0.41	0.263	0.278	0.374	0.379	0.434	0.404	0.309	0.322	0.336	0.214	0.209	0.223	0.215	0.26	0.221
Neb	0.17	0.99	0.71	-3.58	0.968	0.961	0.966	0.957	0.96	0.976	0.962	0.909	0.957	0.926	0.673	0.792	0.859	0.657	0.725	0.76	0.544	0.578	0.519	0.495	0.622	0.497	0.524	0.547	0.535	0.498	0.541	0.555
Nfix	0.17	0.99	0.5	-2.26	0.779	0.624	0.634	0.7	0.62	0.721	0.694	0.494	0.635	0.573	0.327	0.345	0.453	0.297	0.325	0.379	0.325	0.343	0.351	0.265	0.311	0.277	0.256	0.243	0.271	0.273	0.285	0.273
Opa1	0.06	0.5	0.6	1.5	0.129	0.207	0.152	0.177	0.258	0.166	0.2	0.298	0.193	0.248	0.301	0.254	0.267	0.341	0.312	0.276	0.298	0.252	0.285	0.283	0.27	0.291	0.378	0.393	0.372	0.401	0.331	0.417
Phactr4	0.12	0.97	0.46	1.95	0.4	0.505	0.449	0.513	0.467	0.432	0.472	0.71	0.611	0.599	0.885	0.818	0.81	0.87	0.875	0.848	0.859	0.866	0.828	0.84	0.821	0.84	0.853	0.874	0.908	0.847	0.869	0.889
Phka1	0.02	0.7	0.79	2.53	0.068	0.08	0.046	0.08	0.068	0.055	0.073	0.097	0.081	0.098	0.256	0.171	0.145	0.307	0.28	0.257	0.4	0.382	0.457	0.291	0.282	0.289	0.299	0.299	0.291	0.311	0.363	0.37
Ppp1r12b	0.02	0.93	0.5	2.37	0.216	0.449	0.287	0.302	0.365	0.33	0.327	0.599	0.449	0.457	0.866	0.783	0.699	0.884	0.842	0.791	0.894	0.825	0.868	0.905	0.828	0.878	0.91	0.879	0.861	0.825	0.846	0.836
Ppp3cc	0.03	0.85	0.59	1.79	0.198	0.346	0.306	0.259	0.313	0.285	0.288	0.435	0.347	0.372	0.668	0.673	0.55	0.729	0.68	0.645	0.693	0.69	0.719	0.732	0.679	0.747	0.757	0.728	0.755	0.657	0.712	0.729
Rapgef1	0.01	0.73	0.72	1.98	0.097	0.171	0.139	0.132	0.202	0.142	0.146	0.284	0.194	0.213	0.475	0.413	0.341	0.546	0.443	0.405	0.487	0.453	0.5	0.47	0.442	0.465	0.496	0.47	0.517	0.484	0.485	0.506
Ryr1	0.02	0.85	0.73	2.4	0.053	0.241	0.164	0.165	0.073	0.094	0.103	0.199	0.134	0.148	0.44	0.444	0.314	0.635	0.527	0.427	0.673	0.506	0.699	0.681	0.547	0.72	0.64	0.59	0.679	0.545	0.603	0.724
Slc8a3	0.19	0.99	0.45	2.61	0.416	0.602	0.581	0.484	0.542	0.541	0.59	0.827	0.65	0.663	0.938	0.933	0.881	0.948	0.958	0.899	0.961	0.934	0.937	0.956	0.931	0.938	0.932	0.967	0.925	0.95	0.952	0.922
Tnik	0.3	0.99	0.49	3.06	0.387	0.595	0.56	0.526	0.575	0.567	0.537	0.825	0.669	0.705	0.979	0.929	0.878	0.962	0.965	0.928	0.954	0.946	0.933	0.976	0.966	0.968	0.97	0.951	0.952	0.934	0.971	0.952
Trappc9	0.01	0.87	0.59	2.59	0.132	0.262	0.231	0.223	0.294	0.194	0.22	0.441	0.258	0.321	0.692	0.665	0.48	0.803	0.706	0.612	0.72	0.669	0.703	0.767	0.678	0.744	0.789	0.772	0.785	0.763	0.763	0.798
Trim55	0.1	0.97	0.63	3.8	0.142	0.195	0.179	0.177	0.268	0.204	0.214	0.451	0.299	0.312	0.847	0.691	0.597	0.905	0.88	0.782	0.909	0.854	0.852	0.846	0.767	0.78	0.912	0.918	0.867	0.875	0.893	0.859
Ttn	0.18	0.99	0.66	-3.31	0.912	0.915	0.882	0.867	0.875	0.926	0.901	0.786	0.881	0.818	0.565	0.511	0.668	0.537	0.53	0.566	0.471	0.428	0.477	0.404	0.41	0.458	0.426	0.399	0.469	0.434	0.44	0.457
Vps39	0.01	0.78	0.49	2.36	0.232	0.335	0.302	0.339	0.342	0.302	0.338	0.521	0.398	0.455	0.739	0.685	0.596	0.751	0.715	0.668	0.732	0.744	0.707	0.765	0.734	0.755	0.797	0.756	0.727	0.739	0.755	0.736
