a	0.5656565656565657
b	0.6767676767676768
Atp2a1	0.4804804804804805
Clasp1	8.64864864864865
Clcn1	1.001001001001001
Fbxo31	0.6006006006006006
Map3k4	4.964964964964965
Mbnl1	1.1611611611611612
Neb	0.04004004004004004
Nfix	1.8418418418418419
Phka1	1.4414414414414414
Ppp1r12b	12.452452452452452
Rapgef1	2.3223223223223224
Ryr1	0.3203203203203203
Ttn	0.04004004004004004
         mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
a       0.608  0.093   0.450    0.767      0.039    0.029       6.0      15.0   2.24
b       0.710  0.116   0.507    0.913      0.049    0.036       6.0      19.0   2.22
k[0]    0.482  0.069   0.362    0.608      0.013    0.009      27.0     132.0   1.11
k[1]   11.653  5.327   4.038   22.403      0.380    0.269     207.0     192.0   1.01
k[2]    2.259  2.963   0.259    8.141      0.253    0.179     162.0     137.0   1.03
k[3]    0.695  0.304   0.327    1.228      0.030    0.021     132.0     139.0   1.07
k[4]    8.417  6.589   0.887   22.660      0.511    0.362     161.0     154.0   1.03
k[5]    2.436  3.670   0.254    9.035      0.351    0.249      91.0     155.0   1.04
k[6]    0.040  0.017   0.010    0.073      0.001    0.001     238.0     116.0   1.06
k[7]    4.196  4.456   0.550   13.636      0.718    0.512      15.0     159.0   1.21
k[8]    3.507  4.688   0.417   14.226      0.468    0.332      35.0     123.0   1.10
k[9]   14.500  6.117   5.293   26.303      0.451    0.334     193.0     135.0   1.01
k[10]   5.450  4.491   0.759   13.770      0.409    0.290      72.0     195.0   1.05
k[11]   0.364  0.090   0.206    0.548      0.008    0.006     127.0     136.0   1.05
k[12]   0.057  0.016   0.021    0.082      0.001    0.001     169.0     149.0   1.02
sigma   0.082  0.003   0.077    0.089      0.000    0.000     124.0     178.0   1.03
