#geneSymbol	psi_min	psi_max	EC50	slope	study_D_quad_13	study_D_quad_14	study_D_quad_15	study_D_quad_16	study_D_quad_17	study_D_quad_18	study_D_quad_19	study_D_quad_20	study_D_quad_1	study_D_quad_2	study_D_quad_3	study_D_quad_4	study_D_quad_5	study_D_quad_6	study_D_quad_7	study_D_quad_8	study_D_quad_9	study_D_quad_10	study_D_quad_11	study_D_quad_12	study_D_quad_21	study_D_quad_22	study_D_quad_23	study_D_quad_24	Study_E_Quad_Total_1	Study_E_Quad_Total_2	Study_E_Quad_Total_3	Study_E_Quad_Total_4	Study_E_Quad_Total_5	Study_E_Quad_Total_6	Study_E_Quad_Total_7	Study_E_Quad_Total_8	Study_E_Quad_Total_9	Study_E_Quad_Total_10	Study_E_Quad_Nascent_1	Study_E_Quad_Nascent_2	Study_E_Quad_Nascent_3	Study_E_Quad_Nascent_4	Study_E_Quad_Nascent_5	Study_E_Quad_Nascent_6	Study_E_Quad_Nascent_7	Study_E_Quad_Nascent_8	Study_E_Quad_Nascent_9	Study_E_Quad_Nascent_10
#Group					FVB	FVB	FVB	FVB	HSALR	HSALR	HSALR	HSALR	1_day	1_day	1_day	1_day	2_days	2_days	2_days	2_days	4_days	4_days	4_days	4_days	7_days	7_days	7_days	7_days	1_day_T	1_day_T	1_day_T	2_days_T	2_days_T	2_days_T	HSALR	HSALR	HSALR	HSALR	1_day_N	1_day_N	1_day_N	2_days_N	2_days_N	2_days_N	HSALR_N	HSALR_N	HSALR_N	HSALR_N
Abcc9	0.16	0.97	0.29	-2.4	0.325	0.414	0.4	0.196	0.405	0.57	0.427	0.447	0.396	0.569	0.384	0.485	0.397	0.549	0.456	0.517	0.297	0.388	0.334	0.288	0.322	0.27	0.183	0.127	0.555	0.267	0.541	0.407	0.352	0.211	0.303	0.436	0.527	0.557	0.402	0.15	0.352	0.395	0.202	0.254	0.205	0.304	0.412	0.356
Atp2a1	0.01	1	0.53	4.53	0.997	0.998	0.997	0.999	0.331	0.558	0.311	0.279	0.359	0.492	0.265	0.433	0.507	0.507	0.566	0.66	0.733	0.898	0.827	0.888	0.909	0.942	0.928	0.947	0.363	0.293	0.322	0.587	0.475	0.398	0.193	0.344	0.216	0.274	0.545	0.536	0.555	0.679	0.7	0.63	0.23	0.393	0.257	0.34
Best3	0.02	0.48	0.62	1.6	0.925	0.872	0.606	0.89	0.719	0.837	0.591	0.599	0.665	0.92	0.562	0.794	0.631	0.86	0.935	0.794	1	0.897	0.924	0.648	0.81	0.89	0.849	0.925	0.705	0.791	0.681	0.624	0.926	0.667	0.496	0.701	0.596	0.426	0.227	0.442	0.547	0.314	0.715	1	0.24	0.493	0.204	0.339
Bin1	0.58	1	0.39	2.56	0.97	0.978	0.984	0.983	0.817	0.891	0.787	0.752	0.886	0.913	0.78	0.903	0.958	0.905	0.935	0.953	0.953	0.971	0.966	0.981	0.971	0.962	0.979	0.983	0.896	0.875	0.9	0.965	0.962	0.955	0.758	0.822	0.824	0.84	0.921	0.956	0.933	0.914	0.96	0.927	0.734	0.776	0.796	0.848
Cacna2d1	0.31	1	0.3	2.36	0.988	0.996	1	0.997	0.87	0.944	0.845	0.831	0.874	0.876	0.865	0.912	0.931	0.93	0.913	0.955	0.953	0.998	0.966	0.984	0.971	0.988	0.985	0.997	0.879	0.822	0.855	0.93	0.912	0.847	0.806	0.87	0.81	0.816	0.943	0.938	0.964	0.913	0.928	0.958	0.863	0.898	0.781	0.879
Clasp1	0.01	0.93	0.65	2.08	0.758	0.677	0.697	0.746	0.376	0.481	0.299	0.369	0.476	0.583	0.336	0.525	0.637	0.585	0.68	0.623	0.579	0.63	0.565	0.704	0.5	0.676	0.617	0.741	0.64	0.578	0.479	0.564	0.616	0.651	0.246	0.507	0.26	0.325	0.556	0.509	0.591	0.616	0.503	0.779	0.23	0.326	0.244	0.328
Clcn1	0.04	0.99	0.3	-3.47	0.042	0.036	0.047	0.033	0.33	0.246	0.323	0.361	0.212	0.096	0.384	0.117	0.133	0.181	0.125	0.083	0.099	0.041	0.081	0.076	0.115	0.076	0.078	0.054	0.112	0.122	0.16	0.097	0.091	0.128	0.481	0.251	0.388	0.253	0.135	0.206	0.172	0.093	0.134	0.314	0.614	0.442	0.449	0.377
Cpeb2	0.11	0.93	0.66	-3.61	0.364	0.336	0.35	0.074	0.864	0.798	0.882	0.853	0.801	0.761	0.787	0.56	0.59	0.831	0.505	0.375	0.523	0.7	0.662	0.683	0.344	0.429	0.358	0.389	0.665	0.555	0.546	0.464	0.583	0.492	0.738	0.732	0.78	0.842	0.539	0.729	0.634	0.464	0.532	0.801	0.67	0.848	0.714	0.772
Dctn4	0.01	0.91	0.36	-3.3	0.035	0	0	0.025	0.233	0.072	0.326	0.201	0.09	0.1	0.368	0.076	0.064	0.169	0.111	0.061	0.043	0.047	0.151	0.025	0.084	0.126	0.038	0.058	0.051	0.12	0.072	0.039	0.052	0.178	0.452	0.229	0.259	0.21	0.05	0.083	0.039	0.039	0.095	0.095	0.189	0.29	0.357	0.15
Eya4	0.15	0.93	0.63	2.42	0.677	0.806	0.52	0.707	0.271	0.505	0.235	0.342	0.498	0.328	0.507	0.444	0.359	0.276	0.349	0.45	0.493	0.476	0.571	0.696	0.625	0.51	0.553	0.621	0.586	0.676	0.403	0.762	0.572	0.658	0.411	0.423	0.428	0.372	0.444	0.618	0.539	0.842	0.664	0.431	0.397	0.411	0.342	0.369
Fbxo31	0.01	0.8	0.48	3.43	0.809	0.783	0.786	0.859	0.462	0.599	0.366	0.374	0.509	0.455	0.382	0.445	0.704	0.507	0.636	0.617	0.602	0.548	0.665	0.686	0.607	0.675	0.657	0.73	0.434	0.458	0.42	0.676	0.535	0.45	0.331	0.429	0.351	0.384	0.381	0.561	0.407	0.383	0.495	0.523	0.285	0.368	0.291	0.314
Fn1	0.05	0.34	0.2	-5.13	0.091	0.081	0.068	0.085	0.077	0.075	0.099	0.073	0.057	0.061	0.06	0.061	0.068	0.091	0.102	0.068	0.087	0.099	0.075	0.042	0.092	0.056	0.097	0.063	0.1	0.059	0.082	0.063	0.116	0.083	0.091	0.081	0.084	0.082	0.072	0.008	0.059	0.045	0.063	NA	0.083	0.107	0.131	0.113
Jag2	0.14	0.76	0.31	-2.11	0.448	0.409	0.789	0.474	0.665	0.511	0.588	0.471	0.588	0.584	0.673	0.529	0.348	0.671	0.419	0.431	0.371	0.384	0.509	0.44	0.639	0.358	0.72	0.403	0.407	0.328	0.257	0.455	0.483	0.367	0.52	0.376	0.651	0.511	0.263	0.197	0.318	0.092	0.166	NA	0.395	0.27	0.378	0.261
Kif13a	0.28	0.97	0.49	2.27	0.773	0.89	0.823	0.882	0.621	0.793	0.604	0.606	0.766	0.711	0.568	0.666	0.918	0.776	0.83	0.791	0.886	0.878	0.853	0.857	0.834	0.829	0.912	0.931	0.743	0.721	0.712	0.898	0.845	0.777	0.62	0.787	0.587	0.621	0.704	0.861	0.825	0.704	0.72	0.688	0.377	0.513	0.4	0.323
Ldb3	0.01	1	0.54	-3.24	0.058	0.075	0.097	0.04	0.781	0.593	0.796	0.793	0.527	0.428	0.816	0.49	0.372	0.471	0.405	0.265	0.387	0.246	0.381	0.23	0.394	0.316	0.318	0.217	0.477	0.625	0.555	0.306	0.461	0.54	0.868	0.735	0.843	0.814	0.353	0.511	0.427	0.258	0.354	0.466	0.832	0.681	0.761	0.698
Lrrfip2	0.04	0.99	0.59	2.87	0.921	0.961	1	0.865	0.529	0.639	0.351	0.371	0.711	0.591	0.351	0.705	0.74	0.608	0.732	0.845	0.605	0.911	0.783	0.734	0.591	0.756	0.783	0.838	0.77	0.538	0.602	0.803	0.655	0.527	0.268	0.45	0.341	0.349	0.734	0.71	0.518	0.772	0.728	0.828	0.322	0.499	0.147	0.33
